,author,content,description,publishedAt,title,url
0,Reuters Staff,"By Reuters Staff
LONDON (Reuters) - Former Scottish First Minister Alex Salmond launched a new pro-independence party on Friday to run in Mays parliamentary election, a move that could splinter the … [+2513 chars]","Former Scottish First Minister Alex Salmond launched a new pro-independence party on Friday to run in May's parliamentary election, a move that could splinter the separatist vote by grabbing support away from Nicola Sturgeon, his protege turned foe.",2021-03-26T15:34:26Z,Scotland's Salmond launches rival pro-independence party - Reuters Africa,https://www.reuters.com/article/uk-britain-politics-scotland-idUSKBN2BI27H
1,Reuters Staff,"By Reuters Staff
Scotland's First Minister Nicola Sturgeon attends First Minister's Questions at the Scottish Parliament in Edinburgh, Scotland, Britain March 18, 2021. Andy Buchanan/Pool via REUTER… [+1781 chars]","Scotland's First Minister Nicola Sturgeon misled a parliamentary committee investigating her administration's handling of sexual misconduct allegations against her predecessor, the committee has concluded, according to a report by a Sky News journalist.",2021-03-18T19:17:00Z,"Scottish leader Sturgeon found to have misled parliament, Sky reports - Reuters",https://www.reuters.com/article/uk-britain-politics-scotland-idUSKBN2BA2KK
2,Reuters Staff,"By Reuters Staff
LONDON (Reuters) - An independent report expected to rule on whether Scotlands First Minister Nicola Sturgeon broke a ministerial code of conduct will be published later on Monday, … [+1987 chars]","An independent report expected to rule on whether Scotland's First Minister Nicola Sturgeon broke a ministerial code of conduct will be published later on Monday, the Scottish government said.",2021-03-22T15:05:00Z,Scotland's future hangs in balance as report into leader's conduct awaited - Reuters.com,https://www.reuters.com/article/uk-britain-politics-scotland-idUSKBN2BE21S
3,Reuters Staff,"By Reuters Staff
LONDON (Reuters) - An independent report expected to rule on whether Scotlands First Minister Nicola Sturgeon broke a ministerial code of conduct will be published later on Monday, … [+1987 chars]","An independent report expected to rule on whether Scotland's First Minister Nicola Sturgeon broke a ministerial code of conduct will be published later on Monday, the Scottish government said.",2021-03-22T15:01:00Z,Scotland's future hangs in balance as report into leader's conduct awaited - Reuters Australia,https://www.reuters.com/article/us-britain-politics-scotland-idUSKBN2BE21R
4,Simon Johnson,"Alex Salmond during the final days of the 2014 referendum campaign - Getty Images Europe
Nicola Sturgeon has been accused of indulging in a ""reckless distraction"" from the pandemic after her governm… [+3960 chars]","Nicola Sturgeon has been accused of indulging in a ""reckless distraction"" from the pandemic after her government unveiled a draft bill for another...",2021-03-22T15:29:54Z,SNP publishes 'reckless' bill for second independence referendum by end of 2023,https://news.yahoo.com/snp-publishes-reckless-bill-second-152954614.html
5,https://www.facebook.com/bbcnews,"image captionDue to the Covid-19 pandemic, Nicola Sturgeon delivered her conference speech from her house
The Scottish Child Payment will double if the SNP is re-elected in May's election, Nicola St… [+5480 chars]","The SNP leader says ending child poverty should be a ""driving mission"" for the next Holyrood term.",2021-03-29T10:25:50Z,Holyrood 2021: SNP's Sturgeon pledges to double child payment,https://www.bbc.co.uk/news/uk-scotland-scotland-politics-56563529
6,https://www.facebook.com/bbcnews,"By Sir John CurticeProfessor of Politics at Strathclyde University
On the fi
image copyrightGetty Images
On the first official day of campaigning in the 2021 Scottish Parliament elections, polling… [+4004 chars]",Polling expert Professor John Curtice looks at the issues that will decide the Scottish Parliament election on 6 May.,2021-03-24T22:53:25Z,Holyrood election 2021: The 'intense' battle for every vote in Scotland,https://www.bbc.co.uk/news/uk-scotland-56512440
7,David Walsh,"The Saltire and the Estelada flags are almost always found together at marches in support of independence, be they down the Royal Mile, Edinburgh's medieval thoroughfare, or along Barcelona's tree-li… [+15473 chars]",2021 is set to be a pivotal year in the independence movements in Scotland and Catalonia. But are there lessons each movement can learn from the other to avoid the pitfalls that threaten to derail their cause?,2021-03-13T08:00:53Z,How Scots and Catalans are looking to each other to ease their independence woes,https://www.euronews.com/2021/03/13/trials-troubles-and-tribulations-scots-and-catalans-look-to-each-other-to-ease-independenc
8,Cat Neilan,"The Government only learned about the shortage in vaccine supplies ""in the last few days"", a senior minister has admitted.
Matt Hancock yesterday revealed that appointments for first doses of the Co… [+23887 chars]",Covid vaccine supply shortage to paralyse UK rollout Ursula von der Leyen threatens to block exports to UK Coronavirus latest news: Indian government halting...,2021-03-17T20:25:53Z,"Politics latest news: Government only learned about vaccine shortage 'in last few days', minister admits",https://news.yahoo.com/politics-latest-news-lockdown-roadmap-202553006.html
9,Simon Johnson,"Douglas Ross launching the Scottish Tory election campaign - Getty Images Europe
Douglas Ross has appealed to Unionists to deny the SNP a Holyrood majority by rediscovering the ""Better Together spir… [+4696 chars]","Douglas Ross has appealed to Unionists to deny the SNP a Holyrood majority by rediscovering the ""Better Together spirit"" of the 2014 independence referendum ...",2021-03-25T17:37:28Z,Douglas Ross urges Unionists to 'rediscover Better Together spirit' from 2014 to stop SNP,https://news.yahoo.com/douglas-ross-urges-unionists-rediscover-173728614.html
10,Simon Johnson,"Nicola Sturgeon on the campaign trail in Glasgow - AFP
Nicola Sturgeon was only able to hand NHS workers a minimum four per cent pay rise in Scotland thanks to the billions of pounds she has been gi… [+3662 chars]",Nicola Sturgeon was only able to hand NHS workers a minimum four per cent pay rise in Scotland thanks to the billions of pounds she has been given by the UK ...,2021-03-25T17:52:09Z,Nicola Sturgeon only able to hand large pay rise to Scottish NHS staff 'thanks to Treasury billions',https://news.yahoo.com/nicola-sturgeon-only-able-hand-175209985.html
11,Georgina Hayes,"While England and Wales have 57.5 and 39.6 cases per 100,000 population respectively, Scotland's figure stands at 71 - AFP
Anas Sarwar has suggested Nicola Sturgeon should be prepared to delay the e… [+3704 chars]",Anas Sarwar has suggested Nicola Sturgeon should be prepared to delay the easing of lockdown as latest figures show that Scotland has by far the highest...,2021-03-26T19:15:47Z,"Scotland can’t move ‘too fast’ out of lockdown, Anas Sarwar warns, as latest figures show it has highest Covid rate in UK",https://news.yahoo.com/scotland-t-move-too-fast-191547477.html
